[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] GET    /xxx/*filepath            --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /xxx/*filepath            --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] Loaded HTML Templates (2): 
	- 
	- index.html

[GIN-debug] GET    /                         --> main.main.func1 (3 handlers)
[GIN-debug] [WARNING] You trusted all proxies, this is NOT safe. We recommend you to set a value.
Please check https://pkg.go.dev/github.com/gin-gonic/gin#readme-don-t-trust-all-proxies for details.
[GIN-debug] Listening and serving HTTP on :80
[GIN] 2023/06/30 - 23:41:59 | 404 |         533ns |   27.221.126.25 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 23:53:42 | 200 |     162.818µs |  219.144.66.205 | GET      "/"
[GIN] 2023/06/30 - 23:53:42 | 200 |     226.668µs | 123.159.206.172 | GET      "/"
[GIN] 2023/06/30 - 23:53:42 | 200 |     175.715µs |   27.221.126.25 | GET      "/"
[GIN] 2023/06/30 - 23:53:43 | 200 |     163.729µs |    218.61.7.231 | GET      "/"
[GIN] 2023/06/30 - 23:56:59 | 404 |         488ns |   27.221.126.25 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 23:56:59 | 404 |         412ns |  219.144.66.205 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 23:56:59 | 404 |         491ns |    218.61.7.231 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/06/30 - 23:56:59 | 404 |         652ns | 123.159.206.172 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/07/01 - 00:08:43 | 200 |     180.043µs |    218.61.7.231 | GET      "/"
[GIN] 2023/07/01 - 00:08:43 | 200 |     129.694µs |  219.144.66.205 | GET      "/"
[GIN] 2023/07/01 - 00:08:43 | 200 |     187.343µs | 123.159.206.172 | GET      "/"
[GIN] 2023/07/01 - 00:08:43 | 200 |     248.376µs |   27.221.126.25 | GET      "/"
[GIN] 2023/07/01 - 00:12:00 | 404 |         961ns |    218.61.7.231 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/07/01 - 00:12:00 | 404 |         437ns |   27.221.126.25 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/07/01 - 00:12:00 | 404 |       1.052µs | 123.159.206.172 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/07/01 - 00:12:00 | 404 |         456ns |  219.144.66.205 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/07/01 - 00:15:46 | 200 |     210.675µs |   101.198.0.152 | GET      "/"
[GIN] 2023/07/01 - 00:16:15 | 200 |     127.255µs |   101.198.0.156 | GET      "/xxx/favicon.png"
[GIN] 2023/07/01 - 00:16:18 | 404 |         715ns |   101.198.0.157 | GET      "/robots.txt"
[GIN] 2023/07/01 - 00:16:20 | 404 |         731ns |   101.198.0.157 | GET      "/sitemap.xml"
[GIN] 2023/07/01 - 00:23:43 | 200 |     163.996µs |  219.144.66.205 | GET      "/"
[GIN] 2023/07/01 - 00:23:43 | 200 |     165.679µs |    218.61.7.231 | GET      "/"
[GIN] 2023/07/01 - 00:23:43 | 200 |     155.347µs | 123.159.206.172 | GET      "/"
[GIN] 2023/07/01 - 00:23:43 | 200 |      167.22µs |   27.221.126.25 | GET      "/"
[GIN] 2023/07/01 - 00:27:01 | 404 |         680ns |  219.144.66.205 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/07/01 - 00:27:01 | 404 |         454ns | 123.159.206.172 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/07/01 - 00:27:01 | 404 |         679ns |   27.221.126.25 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/07/01 - 00:27:01 | 404 |         549ns |    218.61.7.231 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/07/01 - 00:38:42 | 200 |     231.805µs |  219.144.66.205 | GET      "/"
[GIN] 2023/07/01 - 00:38:42 | 200 |     148.608µs | 123.159.206.172 | GET      "/"
[GIN] 2023/07/01 - 00:38:43 | 200 |     197.895µs |   27.221.126.25 | GET      "/"
[GIN] 2023/07/01 - 00:38:43 | 200 |     201.445µs |    218.61.7.231 | GET      "/"
[GIN] 2023/07/01 - 00:42:02 | 404 |         454ns |    218.61.7.231 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/07/01 - 00:42:02 | 404 |       1.134µs |  219.144.66.205 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/07/01 - 00:42:02 | 404 |         692ns | 123.159.206.172 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/07/01 - 00:42:03 | 404 |         667ns |   27.221.126.25 | GET      "/Vcb/Home/View//Public/static/js/echarts.mim.js"
[GIN] 2023/07/01 - 00:53:43 | 200 |       163.9µs |    218.61.7.231 | GET      "/"
